experiment_type,experiment_id,name,category,numeric_value,display_value,unit,direction
evaluation,eval-task-9ie86v-1783961075,detail.metrics.metrics.summary.totalScore,,0.9978344803001148,0.9978344803001148,,max
evaluation,eval-task-9ie86v-1783961075,detail.metrics.score,,0.9978344803001148,0.9978344803001148,,max
evaluation,eval-task-9ie86v-1783961075,detail.score,,0.9978344803001147,0.9978344803001147,,max
evaluation,eval-task-9ie86v-1783961075,score,,0.9978344803001147,0.9978344803001147,,max
evaluation,eval-task-9nepj1-1784698215,detail.metrics.metrics.summary.r1,,0.15852461096810916,0.15852461096810916,,max
evaluation,eval-task-9nepj1-1784698215,detail.metrics.metrics.summary.r2,,0.4715,0.4715,,max
evaluation,eval-task-9nepj1-1784698215,detail.metrics.metrics.summary.r3,,0.1591078066914498,0.1591078066914498,,max
evaluation,eval-task-9nepj1-1784698215,detail.metrics.metrics.summary.totalScore,,1.0344285849069457,1.0344285849069457,,max
evaluation,eval-task-9nepj1-1784698215,detail.metrics.score,,1.0344285849069457,1.0344285849069457,,max
evaluation,eval-task-9nepj1-1784698215,detail.score,,1.0344285849069457,1.0344285849069457,,max
evaluation,eval-task-9nepj1-1784698215,score,,1.0344285849069457,1.0344285849069457,,max
evaluation,eval-task-9onq96-1783657430,detail.metrics.metrics.summary.r1,,0.13509839804847684,0.13509839804847684,,max
evaluation,eval-task-9onq96-1783657430,detail.metrics.metrics.summary.r2,,0.3989,0.3989,,max
evaluation,eval-task-9onq96-1783657430,detail.metrics.metrics.summary.r3,,0.14349442379182156,0.14349442379182156,,max
evaluation,eval-task-9onq96-1783657430,detail.metrics.metrics.summary.totalScore,,0.8614649472758386,0.8614649472758386,,max
evaluation,eval-task-9onq96-1783657430,detail.metrics.score,,0.8614649472758386,0.8614649472758386,,max
evaluation,eval-task-9onq96-1783657430,detail.score,,0.8614649472758386,0.8614649472758386,,max
evaluation,eval-task-9onq96-1783657430,score,,0.8614649472758386,0.8614649472758386,,max
evaluation,eval-task-a191lq-1785208992,detail.metrics.metrics.summary.r1,,0.16007311775675864,0.16007311775675864,,max
evaluation,eval-task-a191lq-1785208992,detail.metrics.metrics.summary.r2,,0.4328,0.4328,,max
evaluation,eval-task-a191lq-1785208992,detail.metrics.metrics.summary.r3,,0.16171003717472118,0.16171003717472118,,max
evaluation,eval-task-a191lq-1785208992,detail.metrics.metrics.summary.totalScore,,0.9998793221788668,0.9998793221788668,,max
evaluation,eval-task-a191lq-1785208992,detail.metrics.score,,0.9998793221788668,0.9998793221788668,,max
evaluation,eval-task-a191lq-1785208992,detail.score,,0.9998793221788667,0.9998793221788667,,max
evaluation,eval-task-a191lq-1785208992,score,,0.9998793221788667,0.9998793221788667,,max
evaluation,eval-task-a1c3jq-1784120437,detail.metrics.metrics.summary.r1,,0.1473505799210894,0.1473505799210894,,max
evaluation,eval-task-a1c3jq-1784120437,detail.metrics.metrics.summary.r2,,0.4502,0.4502,,max
evaluation,eval-task-a1c3jq-1784120437,detail.metrics.metrics.summary.r3,,0.13717472118959106,0.13717472118959106,,max
evaluation,eval-task-a1c3jq-1784120437,detail.metrics.metrics.summary.totalScore,,0.9800214683580672,0.9800214683580672,,max
evaluation,eval-task-a1c3jq-1784120437,detail.metrics.score,,0.9800214683580672,0.9800214683580672,,max
evaluation,eval-task-a1c3jq-1784120437,detail.score,,0.9800214683580672,0.9800214683580672,,max
evaluation,eval-task-a1c3jq-1784120437,score,,0.9800214683580672,0.9800214683580672,,max
evaluation,eval-task-ab0nlb-1784963971,detail.metrics.metrics.summary.r1,,0.16033809479535777,0.16033809479535777,,max
evaluation,eval-task-ab0nlb-1784963971,detail.metrics.metrics.summary.r2,,0.4558,0.4558,,max
evaluation,eval-task-ab0nlb-1784963971,detail.metrics.metrics.summary.r3,,0.1591078066914498,0.1591078066914498,,max
evaluation,eval-task-ab0nlb-1784963971,detail.metrics.metrics.summary.totalScore,,1.0205420687341944,1.0205420687341944,,max
evaluation,eval-task-ab0nlb-1784963971,detail.metrics.score,,1.0205420687341944,1.0205420687341944,,max
